GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), !! HV Discharge Amps(A),!! HV Volts(V),!! Inst. kPower(kW),!! Inst. kW/km(kW/km/h),!! Inst. kW/miles per hour(kW/mph),!! Inst. Miles per hour/kW(mph/kW),!! Inst. Power(W),!! Inst. W/ miles per hour(W/mph),!! Inst. W/km per hour(W/km/h),!! MGA Current(A),!! MGA kPower(kW),!! MGA Power(W),!! MGA Voltage(V),!! MGB Current(A),!! MGB kPower(kW),!! MGB Power(W),!! MGB Voltage(V),!! SOC (Usable)(%),!! SOC(Raw)(%),!!Inst km per hour /kW(km/h/kW),!Charger AC Current(A),!Charger AC Voltage(V),!Charger HV Current(A),!Charger HV Power(W),!Charger HV Voltage(V),!Control Module Voltage(V),!Engine Coolant Temp(°F),!Engine Oil Temp(°F),!EV km this Cycle(miles),!EV Miles this Cycle(ft),!Fuel Level(%),!Fuel Remaining(Gallons),!HV Battery Temp(°F),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°F),!PRNDL,!Speed kmh(kmh),!Tran Temp(°F),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),*Brake Tq(ft-lb),*Charging Limit?(W),*Clutch C2 Slip(RPM),*Clutch C3 Slip(RPM),*H2 Volt from VICM?(V),*M AC High Side Pressure(psi),*M Commanded Throttle Pos(%),*M Engine Torque(ft-lb),*M Engine Torque m1(ft-lb),*M Fuel System Status(B1),*M Intake Air Temp IAT(°F),*M Long Term Fuel Trip Bank 2(%),*M Long Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank2(%),*M Spark Advance(Deg),*Outside Temp Filtered(°F),*Transmission ISS  19 41(RPM),*Transmission Pressure,Engine Coolant Temperature(°F),Engine Load(%),Engine RPM(rpm),Evap System Vapour Pressure(Pa),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Intake Air Temperature(°F),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(cfm),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(ft-lb),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Tue Dec 30 18:19:16 PST 2025,30-Dec-2025 18:19:16.650,-117.01011885,32.77521815,30.5,4.036046504974365,134.786376953125,67.19999694824219,-0.64,9.3,1.43,-0.02,-14.95,355.14,-5.31,-,-29597.23,-33.79,-5309.35,-29.6,-48.27,-8.3,-2.81,0,338,-14.7,-4.97,-4968.6,338,-10.78,14.12,-4630.56,0,0,0,0,338,13.74,206.6,226.4,0,0,48.24,4.49,75.2,14.12,29480,-9.4,3,110,-,11.58,653,0,0,0,0,-,-,324,-0.15,69.02,707.88,-,196,55.4,50.2,55.29,49.41,50.2,0.5,52.03,-,7520,206.6,91.76,2140.75,39,47.45,58.74,2921.06,13.24,442.21,67.2,32.78,-117.01,21,42.53,-,14.12,14.12,78.8,14.07,12.15,12.04,8.3,200.53,55.87,38.38,5.75,52.94,2555,-,68.97,63.14,0,-,11.89,8.41,27.98,17.42,1500.52,1416.7,62.89,-0.44,13.74,13.5
Tue Dec 30 18:19:17 PST 2025,30-Dec-2025 18:19:17.649,-117.00983136,32.77531513,30.520000457763672,3.7900924682617188,139.30706787109375,67.19999694824219,-1.92,9.46,1.81,0.02,-14.95,355.14,-5.31,-,-29597.23,-33.79,-5309.35,-29.6,-48.27,-8.3,-2.81,0,338,-14.7,-4.97,-4968.6,338,-10.78,14.12,-4630.56,0,0,0,0,338,13.74,206.6,226.4,0,0,48.24,4.49,75.2,14.12,29480,-9.4,3,110,-,11.58,665,0,0,0,0,-,-,327.5,-0.15,42.75,896.69,-,196,55.4,50.2,54.9,50.59,50.2,10,52.03,-,8640,206.6,91.76,2140.75,39,47.84,58.74,2921.06,12.43,457.04,67.2,32.78,-117.01,39,42.53,-,14.12,14.12,78.8,14.07,12.15,12.04,8.3,200.53,55.78,38.48,5.74,52.94,2555,68.27,68.97,63.14,0,-,11.89,8.41,27.98,17.42,1502.9,1419.09,62.89,-0.44,13.74,13.5
Tue Dec 30 18:19:18 PST 2025,30-Dec-2025 18:19:18.649,-117.0095302,32.77542464,30.360000610351562,3.7900924682617188,140.1055908203125,67.0999984741211,-2.12,9.38,1.52,0.01,-43.75,352.67,-15.43,-,-86011.86,-11.63,-15429.39,-86.01,-140.27,-19.9,-6.79,0,341,-29.3,-9.99,-9991.3,341,-10.78,14.12,-13645.83,0,0,0,0,340.5,13.73,206.6,226.4,0,0,47.06,4.38,77,14.12,29480,-9.4,3,110,-,11.58,665,0,0,0,0,-,-,327.5,-0.15,42.75,896.69,-,196,55.4,50.2,54.9,50.59,50.2,10,52.03,-,8640,206.6,65.88,2485,-398,47.84,60.92,2910.91,12.43,459.66,67.1,32.78,-117.01,41,0.08,-,14.12,14.12,78.8,12.47,14.64,12.04,8.3,166.36,55.77,38.49,5.74,30.59,2558,67.91,68.35,41.18,14.5,-,11.9,8.4,27.99,17.45,1503.25,1419.44,62.89,-2.03,13.73,13.5
Tue Dec 30 18:19:19 PST 2025,30-Dec-2025 18:19:19.649,-117.00922812,32.77553372,30.030000686645508,3.7900924682617188,140.2105712890625,66.80000305175781,-0.98,10.29,1.91,0.09,-43.75,352.67,-15.43,-,-86800.96,-11.52,-15429.39,-86.8,-141.55,-19.9,-6.79,0,341,-29.3,-9.99,-9991.3,341,-10.78,14.12,-13521.78,0,0,0,0,340.5,13.73,206.6,226.4,0,0,47.06,4.38,77,14.12,29480,-9.4,3,109,-,11.58,653,0,0,0,0,-,-,324,-0.15,63.53,802.28,-,196,55.4,50.2,54.9,50.2,50.2,1,52.03,-,8800,206.6,65.88,2485,-398,46.67,58.31,2910.91,12.43,460.01,66.8,32.78,-117.01,49,0.08,-,14.12,14.12,78.8,14.07,12.81,12.04,8.3,188.5,55.71,38.56,5.73,30.59,2558,67.18,68.35,41.18,14.5,-,11.9,8.4,27.99,17.47,1504.9,1421.08,62.89,-0.44,13.73,13.5
Tue Dec 30 18:19:20 PST 2025,30-Dec-2025 18:19:20.651,-117.00893378,32.77564084,30.0,3.7900924682617188,140.31268310546875,66.80000305175781,-0.7,9.49,0.45,-0.01,-3.85,355.83,-1.37,-,-7706.85,-129.75,-1369.94,-7.71,-12.57,2.55,0.86,0,336,-7.5,-2.52,-2520,336,-10.78,14.12,-1179.36,0,0,0,0,337,13.75,206.6,226.4,0,0,47.45,4.42,77,14.12,29480,-9.4,3,109,-,11.58,653,0,0,0,0,-,-,324,-0.15,63.53,802.28,-,196,55.4,50.2,54.9,50.2,50.2,1,52.03,-,8800,206.6,93.33,2044.5,-38.75,46.67,58.31,2922.51,12.43,460.34,66.8,32.78,-117.01,50,0.07,-,14.12,14.12,78.8,14.07,12.81,12.04,8.3,188.5,55.7,38.57,5.73,38.04,2560,67.11,67.11,49.41,1,-,11.9,8.4,27.99,17.49,1505.25,1421.43,62.89,-0.44,13.75,13.5
Tue Dec 30 18:19:21 PST 2025,30-Dec-2025 18:19:21.653,-117.00863942,32.775751,30.020000457763672,3.7900924682617188,140.12640380859375,66.80000305175781,-0.86,10.57,1.37,0.11,-3.85,355.83,-1.37,-,-7778.21,-128.56,-1369.94,-7.78,-12.68,2.55,0.86,0,336,-7.5,-2.52,-2520,336,-10.78,14.12,-1168.54,0,0,0,0,337,13.75,206.6,226.4,0,0,47.45,4.42,77,14.12,29480,-9.4,3,108,-,11.58,671,0,0,0,0,-,-,324.5,-0.15,52.55,943.9,-,196,55.4,50.2,54.51,50.98,50.2,5.5,52.03,-,8800,206.6,93.33,2044.5,-38.75,46.67,58.31,2922.51,12.43,459.73,66.8,32.78,-117.01,51,0.07,-,14.12,14.12,78.8,14.07,12.81,12.04,8.3,188.5,55.66,38.62,5.73,38.04,2560,67.15,67.11,49.41,1,-,11.9,8.4,27.99,17.51,1506.24,1422.43,62.89,-0.44,13.75,13.5
Tue Dec 30 18:19:22 PST 2025,30-Dec-2025 18:19:22.651,-117.00834311,32.77585708,30.059999465942383,3.7900924682617188,140.3292236328125,66.80000305175781,-1.66,9.43,2.57,0.03,-39.55,353.62,-13.99,-,-79408.66,-12.59,-13985.87,-79.41,-129.5,-7.7,-2.63,0,341,-37.8,-12.7,-12700.8,341,-10.78,14.12,-12078.9,0,0,0,0,337,13.75,206.6,226.4,0,0,47.45,4.42,77,14.12,29480,-9.4,3,108,-,11.58,671,0,0,0,0,-,-,324.5,-0.15,52.55,943.9,-,196,55.4,50.2,54.51,50.98,50.2,5.5,52.03,-,7200,206.6,79.22,2594.5,-256,47.84,60.05,2887.7,12.43,460.4,66.8,32.78,-117.01,51,0.49,-,14.12,14.12,78.8,13.2,10.66,12.04,8.3,222.43,55.6,38.68,5.72,31.76,2562,67.24,67.73,42.75,6,-,11.9,8.4,27.99,17.53,1507.74,1423.93,62.89,-1.31,13.75,13.5
Tue Dec 30 18:19:23 PST 2025,30-Dec-2025 18:19:23.649,-117.00804607,32.77596635,30.040000915527344,3.7900924682617188,140.7379150390625,66.80000305175781,-1.34,9.49,2.55,0.03,-39.55,353.62,-13.99,-,-79408.66,-12.59,-13985.87,-79.41,-129.5,-7.7,-2.63,0,341,-37.8,-12.89,-12889.8,341,-10.78,14.12,-12078.9,0,0,0,0,340.5,13.75,206.6,226.4,0,0,47.45,4.42,75.2,14.12,29480,-9.4,3,108,-,11.58,653,0,0,0,0,-,-,326,-0.15,50.59,707.88,-,196,55.4,50.2,54.9,50.59,50.2,14.5,52.03,-,7200,206.6,87.06,2174.75,-256,47.45,58.74,2887.7,12.43,461.74,66.8,32.78,-117.01,51,0.09,-,14.12,14.12,78.8,13.78,13.29,12.04,8.3,180,55.56,38.72,5.72,31.76,2562,67.2,67.11,54.51,6.5,-,11.9,8.4,27.99,17.55,1508.9,1425.09,62.89,-0.73,13.75,13.5
Tue Dec 30 18:19:24 PST 2025,30-Dec-2025 18:19:24.649,-117.0077494,32.77607343,29.850000381469727,3.7900924682617188,140.6519775390625,66.9000015258789,-1.58,9.83,1.95,0.05,3,356.3,1.07,-,6068.92,164.77,1068.89,6.07,9.9,14.25,4.77,0,335,-9.1,-3.05,-3048.5,335,-10.78,14.12,909.35,0,0,0,0,340.5,13.75,206.6,226.4,0,0,47.45,4.42,75.2,14.12,29480,-9.4,3,108,-,11.58,653,0,0,0,0,-,-,326,-0.15,50.59,707.88,-,196,55.4,50.2,54.9,50.59,50.2,14.5,52.03,-,7200,206.6,87.06,2174.75,-15.75,47.45,58.74,2890.6,12.43,461.46,66.9,32.78,-117.01,52,0.09,-,14.12,14.12,78.8,13.78,13.29,12.04,8.3,180,55.55,38.74,5.71,49.8,2564,66.77,67.11,54.51,6.5,-,11.9,8.4,27.99,17.57,1509.24,1425.43,62.89,-0.73,13.76,13.5
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), !! HV Discharge Amps(A),!! HV Volts(V),!! Inst. kPower(kW),!! Inst. kW/km(kW/km/h),!! Inst. kW/miles per hour(kW/mph),!! Inst. Miles per hour/kW(mph/kW),!! Inst. Power(W),!! Inst. W/ miles per hour(W/mph),!! Inst. W/km per hour(W/km/h),!! MGA Current(A),!! MGA kPower(kW),!! MGA Power(W),!! MGA Voltage(V),!! MGB Current(A),!! MGB kPower(kW),!! MGB Power(W),!! MGB Voltage(V),!! SOC (Usable)(%),!! SOC(Raw)(%),!!Inst km per hour /kW(km/h/kW),!Charger AC Current(A),!Charger AC Voltage(V),!Charger HV Current(A),!Charger HV Power(W),!Charger HV Voltage(V),!Control Module Voltage(V),!Engine Coolant Temp(°F),!Engine Oil Temp(°F),!EV km this Cycle(miles),!EV Miles this Cycle(ft),!Fuel Level(%),!Fuel Remaining(Gallons),!HV Battery Temp(°F),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°F),!PRNDL,!Speed kmh(kmh),!Tran Temp(°F),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),*Brake Tq(ft-lb),*Charging Limit?(W),*Clutch C2 Slip(RPM),*Clutch C3 Slip(RPM),*H2 Volt from VICM?(V),*M AC High Side Pressure(psi),*M Commanded Throttle Pos(%),*M Engine Torque(ft-lb),*M Engine Torque m1(ft-lb),*M Fuel System Status(B1),*M Intake Air Temp IAT(°F),*M Long Term Fuel Trip Bank 2(%),*M Long Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank2(%),*M Spark Advance(Deg),*Outside Temp Filtered(°F),*Transmission ISS  19 41(RPM),*Transmission Pressure,Engine Coolant Temperature(°F),Engine Load(%),Engine RPM(rpm),Evap System Vapour Pressure(Pa),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Intake Air Temperature(°F),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(cfm),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(ft-lb),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Tue Dec 30 18:19:26 PST 2025,30-Dec-2025 18:19:26.567,-117.00716097,32.77628367,29.739999771118164,3.7900924682617188,141.89251708984375,67.30000305175781,-1.85,9.95,1.86,0.07,3,356.3,1.07,-,6068.92,164.77,1068.89,6.07,9.9,14.25,4.77,0,335,-9.1,-3.05,-3048.5,335,-10.78,14.12,909.35,0,0,0,0,335.5,13.74,206.6,226.4,0,0,47.45,4.42,77,14.12,29480,-9.4,3,108,-,11.58,660,0,0,0,0,-,-,325.5,-0.15,49.02,991.1,-,196,55.4,50.2,54.51,50.98,50.2,3.5,52.03,-,6880,206.6,89.41,2527.75,-152,47.84,60.92,2877.55,12.43,465.53,67.3,32.78,-117.01,51,0.04,-,14.12,14.12,78.8,13.49,10.72,12.04,8.3,221.15,55.45,38.84,5.7,40.39,2564,66.53,66.49,49.8,4.5,-,11.9,8.4,27.99,17.6,1511.81,1428,62.89,-1.02,13.75,13.5
Tue Dec 30 18:19:27 PST 2025,30-Dec-2025 18:19:27.567,-117.00686865,32.7763868,29.639999389648438,3.7900924682617188,142.52667236328125,67.30000305175781,-1.33,10.61,1.06,0.11,-10.75,355.89,-3.83,-,-21722.18,-46.04,-3825.82,-21.72,-35.42,5.05,1.7,0,337,-16.6,-5.58,-5577.6,336,-10.78,14.12,-3262.24,0,0,0,0,336.5,13.75,206.6,226.4,0,0,47.84,4.46,77,14.12,29480,-9.4,3,108,-,11.58,658,0,0,0,0,-,-,325.5,-0.15,49.02,991.1,-,196,55.4,50.2,54.51,50.98,50.2,3.5,52.03,-,6880,206.6,89.41,2527.75,-152,47.84,60.92,2877.55,12.43,467.61,67.3,32.78,-117.01,51,0.04,-,14.12,14.12,78.8,13.49,10.72,12.04,8.3,221.15,55.44,38.86,5.7,40.39,2567,66.3,66.49,49.8,4.5,-,11.9,8.4,27.99,17.62,1512.25,1428.44,62.89,-1.02,13.75,13.5
Tue Dec 30 18:19:28 PST 2025,30-Dec-2025 18:19:28.567,-117.00657565,32.77649051,29.690000534057617,3.7900924682617188,143.1046142578125,67.30000305175781,-1.22,10.63,0.77,0.11,25.5,358.36,9.14,-,51884.46,19.27,9138.16,51.88,84.61,28.95,9.61,0,332,-4,-1.32,-1324,331,-10.78,14.12,7685.02,0,0,0,0,336.5,13.75,206.6,226.4,0,0,47.84,4.46,77,14.12,29480,-9.4,3,108,-,11.58,658,0,0,0,0,-,-,320,-0.15,58.82,1085.51,-,196,55.4,50.2,54.51,51.37,50.2,7,52.03,-,4480,206.6,91.76,2720,-53,47.45,59.61,2918.16,12.43,469.5,67.3,32.78,-117.01,51,0.69,8.74,14.12,14.12,78.8,13.92,9.48,12.04,8.3,247.62,55.38,38.92,5.7,42.75,2568,66.41,67.11,52.94,7.5,16.87,11.9,8.41,27.98,17.64,1513.64,1429.82,62.89,-0.58,13.75,13.5
Tue Dec 30 18:19:29 PST 2025,30-Dec-2025 18:19:29.567,-117.00627957,32.77659453,29.889999389648438,3.7900924682617188,143.749755859375,67.5,-0.81,9.13,1.24,-0.04,25.5,358.36,9.14,-,51408.46,19.45,9138.16,51.41,83.84,28.95,9.61,0,332,-4,-1.32,-1324,331,-10.78,14.12,7756.18,0,0,0,0,332.5,13.72,206.6,226.4,0,0,48.24,4.49,77,14.12,29480,-9.4,3,109,-,11.58,651,0,0,0,0,-,-,318,-0.15,55.29,1085.51,-,196,55.4,50.2,54.51,51.37,50.2,9,52.03,-,3520,206.6,90.2,2839,-92.5,47.45,59.18,2916.71,12.43,471.62,67.5,32.78,-117.01,53,0.87,13.84,14.12,14.12,78.8,13.49,9.32,12.04,8.3,254.44,55.34,38.97,5.69,41.18,2568,66.86,67.73,51.37,9,25.6,11.89,8.41,27.97,17.66,1514.79,1430.98,62.89,-1.02,13.73,13.5
Tue Dec 30 18:19:30 PST 2025,30-Dec-2025 18:19:30.566,-117.00598239,32.77669942,30.18000030517578,3.7900924682617188,144.52691650390625,67.30000305175781,-1.44,9.4,1.76,0.01,32.7,358.73,11.73,-,65392.84,15.29,11730.61,65.39,106.64,30.05,9.95,0,331,-0.9,-0.3,-297,330,-10.78,14.12,10026.92,0,0,0,0,331.5,13.75,206.6,226.4,0,0,48.63,4.53,77,14.12,29480,-9.4,3,110,-,11.58,647,0,0,0,0,-,-,321,-0.15,54.12,1179.92,-,196,55.4,50.2,54.51,51.37,50.2,9,52.03,-,3520,206.6,90.2,2839,-92.5,47.45,59.18,2916.71,12.43,474.17,67.3,32.78,-117.01,52,0.87,13.84,14.12,14.12,78.8,13.49,9.32,12.04,8.3,254.44,55.32,38.98,5.69,41.18,2569,67.51,67.73,51.37,9,25.6,11.89,8.41,27.97,17.68,1515.25,1431.43,62.89,-1.02,13.73,13.5
Tue Dec 30 18:19:31 PST 2025,30-Dec-2025 18:19:31.568,-117.00568252,32.776805,30.399999618530273,3.7900924682617188,145.528076171875,67.4000015258789,-1.39,10.37,0.91,0.09,32.7,358.73,11.73,-,65392.84,15.29,11730.61,65.39,106.64,30.05,9.95,0,331,-0.9,-0.3,-297,330,-10.78,14.12,10026.92,0,0,0,0,331.5,13.75,206.6,226.4,0,0,48.63,4.53,77,14.12,29480,-9.4,3,110,-,11.58,647,0,0,0,0,-,-,321,-0.15,54.12,1179.92,-,196,55.4,50.2,54.51,50.98,50.2,7.5,52.03,-,5280,206.6,90.2,2839,-92.5,47.06,59.18,2916.71,12.43,477.45,67.4,32.78,-117.01,52,0.87,13.84,14.12,14.12,78.8,13.49,9.32,12.04,8.3,254.44,55.27,39.05,5.69,41.18,2569,68,67.73,51.37,9,25.6,11.89,8.41,27.97,17.7,1516.82,1433.01,62.89,-1.02,13.73,13.5
Tue Dec 30 18:19:32 PST 2025,30-Dec-2025 18:19:32.569,-117.00538223,32.77691142,30.420000076293945,3.7900924682617188,146.45428466796875,67.0999984741211,-0.5,9.99,1.02,0.04,21.3,358.48,7.64,-,42182.18,23.71,7635.72,42.18,68.79,26.45,8.78,0,332,-5.1,-1.69,-1688.1,331,-10.78,14.12,6595.27,0,0,0,0,332,13.75,206.6,226.4,0,0,47.06,4.38,77,14.12,29480,-9.4,3,111,-,11.58,642,0,0,0,0,-,-,317,-0.15,61.18,1085.51,-,196,55.4,50.2,54.51,50.98,50.2,7.5,52.03,-,5280,206.6,92.55,2867,-68.25,47.06,56.56,2876.1,12.43,480.49,67.1,32.78,-117.01,51,0.97,13.97,14.12,14.12,78.8,13.78,9.21,12.04,8.31,259.73,55.25,39.07,5.68,44.31,2572,68.05,68.97,54.9,8.5,25.59,11.89,8.41,27.96,17.72,1517.24,1433.43,62.89,-0.73,13.77,13.5
Tue Dec 30 18:19:33 PST 2025,30-Dec-2025 18:19:33.567,-117.00508424,32.77701957,30.5,3.7900924682617188,147.75439453125,67.80000305175781,-0.56,9.32,0.57,-0.03,34.5,358.41,12.37,-,68308.36,14.64,12365.02,68.31,111.4,23.65,7.85,0,331,-3.9,-1.69,-1688.1,331,-10.78,14.12,10684.8,0,0,0,0,332,13.75,206.6,226.4,0,0,47.06,4.38,77,14.12,29480,-9.4,3,111,-,11.58,642,0,0,0,0,-,-,317,-0.15,61.18,1085.51,-,196,55.4,50.2,54.51,50.98,50.2,9,52.03,-,3520,206.6,92.94,2939.25,-37,47.06,58.74,2868.85,12.43,484.76,67.8,32.78,-117.01,50,0.92,13.97,14.12,14.12,78.8,14.07,9.03,12.04,8.31,269.68,55.21,39.11,5.68,47.84,2573,68.23,68.97,58.43,5,25.59,11.88,8.42,27.95,17.73,1518.25,1434.44,62.89,-0.44,13.73,13.5
Tue Dec 30 18:19:34 PST 2025,30-Dec-2025 18:19:34.569,-117.0047835,32.77713095,30.6299991607666,3.7900924682617188,148.40673828125,67.9000015258789,-0.72,8.81,0.59,-0.08,34.5,358.41,12.37,-,68308.36,14.64,12365.02,68.31,111.4,23.65,7.83,0,331,-3.9,-1.29,-1290.9,331,-10.78,14.12,10684.8,0,0,0,0,332,13.75,206.6,226.4,0,0,49.02,4.56,77,14.12,29480,-9.4,3,111,-,11.58,640,0,0,0,0,-,-,317,-0.15,61.18,1085.51,-,196,55.4,50.2,54.51,50.98,50.2,9,52.03,-,3520,206.6,92.94,2939.25,-37,47.06,58.74,2868.85,12.43,486.9,67.9,32.78,-117,50,0.92,13.97,14.12,14.12,78.8,14.07,9.03,12.04,8.31,269.68,55.18,39.15,5.68,47.84,2573,68.52,68.97,58.43,5,25.59,11.88,8.42,27.95,17.75,1519.24,1435.43,62.89,-0.44,13.73,13.5
Tue Dec 30 18:19:35 PST 2025,30-Dec-2025 18:19:35.568,-117.00448501,32.77723937,30.440000534057617,3.7900924682617188,150.64569091796875,67.19999694824219,-1.24,11.22,1.12,0.18,34.5,358.41,12.37,-,68308.36,14.64,12365.02,68.31,111.4,23.65,7.83,0,331,-3.9,-1.29,-1290.9,331,-10.78,14.12,10684.8,0,0,0,0,332,13.75,206.6,226.4,0,0,49.02,4.56,77,14.12,29480,-9.4,3,111,-,11.58,640,0,0,0,0,-,-,324.5,-0.15,56.47,1227.12,-,196,55.4,50.2,54.12,51.76,50.2,7.5,52.03,-,6240,208.4,92.94,2939.25,-37,52.16,58.74,2868.85,12.43,494.24,67.2,32.78,-117,49,0.92,13.97,14.12,14.12,78.8,13.49,9.74,12.04,8.31,250.03,55.12,39.21,5.67,47.84,2573,68.09,68.97,58.43,5,25.59,11.88,8.42,27.94,17.77,1520.81,1436.99,62.89,-1.02,13.73,13.5
Tue Dec 30 18:19:36 PST 2025,30-Dec-2025 18:19:36.569,-117.00418927,32.77734599,30.239999771118164,3.7900924682617188,152.4400634765625,66.30000305175781,-2.6,9.6,1.03,0.04,-11.65,356.39,-4.15,-,-23357.58,-42.81,-4151.95,-23.36,-38.09,8.65,2.91,0,336,-22,-7.39,-7392,336,-10.78,14.12,-3563.08,0,0,0,0,336,13.77,208.4,226.4,0,0,49.8,4.64,77,14.12,29480,-9.4,3,109,-,11.58,644,0,0,0,0,-,-,324.5,-0.15,56.47,1227.12,-,196,55.4,50.2,54.12,51.76,50.2,7.5,52.03,-,6240,208.4,89.02,2855.25,-120.25,52.16,58.74,2902.21,12.43,500.13,66.3,32.78,-117,49,0.26,-,14.12,14.12,78.8,13.49,9.74,12.04,8.31,250.03,55.1,39.23,5.67,39.22,2576,67.64,68.35,49.41,7,-,11.88,8.42,27.94,17.79,1521.25,1437.43,62.89,-1.02,13.74,13.5
Tue Dec 30 18:19:37 PST 2025,30-Dec-2025 18:19:37.569,-117.00390143,32.77746091,29.8799991607666,3.7900924682617188,153.899169921875,63.20000076293945,-1.83,9.2,0.75,0.02,-11.65,356.39,-4.15,-,-23357.58,-42.81,-4151.95,-23.36,-38.09,8.65,2.91,0,336,-22,-7.39,-7392,336,-10.78,14.12,-3563.08,0,0,0,0,336,13.77,208.4,226.4,0,0,49.8,4.64,77,14.12,29480,-9.4,3,109,-,11.58,644,0,0,0,0,-,-,319.5,-0.15,64.31,1179.92,-,196,55.4,50.2,54.51,51.37,50.2,8,52.03,-,4320,206.6,92.94,2887.25,-120.25,44.31,59.18,2921.06,12.43,504.92,63.2,32.78,-117,50,0.89,-,14.12,14.12,78.8,13.92,9.13,12.04,8.31,264.47,55.05,39.29,5.66,47.45,2576,66.84,67.73,57.25,8.5,-,11.88,8.42,27.93,17.81,1522.8,1438.98,62.89,-0.58,13.76,13.5
Tue Dec 30 18:19:37 PST 2025,30-Dec-2025 18:19:38.570,-117.00390143,32.77746091,29.8799991607666,3.7900924682617188,153.899169921875,63.20000076293945,-2.2,9.69,1.05,0.04,26.4,358.55,9.47,-,53250.72,18.78,9465.64,53.25,86.84,26.15,8.66,0,331,-2.6,-0.86,-860.6,331,-10.78,14.12,8025.73,0,0,0,0,331.5,13.74,208.4,226.4,0,0,41.57,3.87,77,14.12,29480,-9.4,3,109,-,11.58,642,0,0,0,0,-,-,319,-0.15,74.51,1227.12,-,196,55.4,50.2,54.51,51.76,50.2,7.5,52.03,-,4320,206.6,92.94,2887.25,-30.75,44.31,59.18,2921.06,12.43,504.92,63.2,32.78,-117,50,0.89,-,14.12,14.12,78.8,13.92,9.13,12.04,8.31,264.47,55.04,39.29,5.66,47.45,2578,66.84,67.73,57.25,8.5,-,11.88,8.42,27.93,17.81,1522.86,1439.05,62.89,-0.58,13.76,13.5
